[2026-02-21T21:19:47.606Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs visuels désactivés
[2026-02-21T21:27:17.156Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd | Guild: Tests (1474820217627480080) | Channel: 1474857686704193546 | Detail: Menu RGPD ouvert
[2026-02-21T21:27:31.501Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T21:27:37.096Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config voir | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Configuration consultée
[2026-02-21T21:28:15.870Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle liste | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Liste rôles — 2 rôle(s)
[2026-02-21T21:28:22.697Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config admin-liste | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Liste admins consultée — 2 admin(s)
[2026-02-21T21:28:39.163Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle liste | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Liste rôles — 2 rôle(s)
[2026-02-21T21:28:50.753Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle ordonner | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Ordre des rôles modifié
[2026-02-21T21:29:13.973Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Mis à jour dans <#1474859226127138837>
[2026-02-21T21:30:09.319Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu RGPD ouvert
[2026-02-21T21:30:13.518Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd infos | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Infos RGPD consultées
[2026-02-21T21:33:13.254Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd | Guild: Tests (1474820217627480080) | Channel: 1474857686704193546 | Detail: Menu RGPD ouvert
[2026-02-21T21:33:14.866Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd infos | Guild: Tests (1474820217627480080) | Channel: 1474857686704193546 | Detail: Infos RGPD consultées
[2026-02-21T21:33:27.383Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T21:34:16.399Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config voir | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Configuration consultée
[2026-02-21T21:34:43.584Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config voir | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Configuration consultée
[2026-02-21T21:35:26.806Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle liste | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Liste rôles — 2 rôle(s)
[2026-02-21T21:37:28.602Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T21:37:36.352Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config admin-liste | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Liste admins consultée — 2 admin(s)
